cs,species,extant,community,class
5,scinax_x-signatus,1,Assemblage,Amphibians
5,haddadus_binotatus,1,Assemblage,Amphibians
5,adenomera_thomei,1,Assemblage,Amphibians
5,adenomera_ajurauna,1,Assemblage,Amphibians
5,dendropsophus_elegans,1,Assemblage,Amphibians
5,leptodactylus_fuscus,1,Assemblage,Amphibians
5,fritziana_ohausi,1,Assemblage,Amphibians
5,arcovomer_passarellii,1,Assemblage,Amphibians
5,aplastodiscus_perviridis,1,Assemblage,Amphibians
5,ololygon_littoralis,1,Assemblage,Amphibians
5,cycloramphus_eleutherodactylus,1,Assemblage,Amphibians
5,vitreorana_eurygnatha,1,Assemblage,Amphibians
5,adenomera_marmorata,1,Assemblage,Amphibians
5,ischnocnema_gehrti,1,Assemblage,Amphibians
5,ischnocnema_henselii,1,Assemblage,Amphibians
5,rhinella_icterica,1,Assemblage,Amphibians
5,ischnocnema_guentheri,1,Assemblage,Amphibians
5,siphonops_hardyi,1,Assemblage,Amphibians
5,ischnocnema_parva,1,Assemblage,Amphibians
5,scinax_fuscomarginatus,1,Assemblage,Amphibians
5,dendropsophus_seniculus,1,Assemblage,Amphibians
5,macrogenioglottus_alipioi,1,Assemblage,Amphibians
5,ololygon_obtriangulata,1,Assemblage,Amphibians
5,proceratophrys_melanopogon,1,Assemblage,Amphibians
5,rhinella_crucifer,1,Assemblage,Amphibians
5,ololygon_berthae,1,Assemblage,Amphibians
5,crossodactylus_boulengeri,1,Assemblage,Amphibians
5,sphaenorhynchus_platycephalus,1,Assemblage,Amphibians
5,boana_raniceps,1,Assemblage,Amphibians
5,luetkenotyphlus_brasiliensis,1,Assemblage,Amphibians
5,proceratophrys_pombali,1,Assemblage,Amphibians
5,dendropsophus_microps,1,Assemblage,Amphibians
5,myersiella_microps,1,Assemblage,Amphibians
5,boana_albopunctata,1,Assemblage,Amphibians
5,aplastodiscus_arildae,1,Assemblage,Amphibians
5,phasmahyla_cochranae,1,Assemblage,Amphibians
5,hylodes_caete,1,Assemblage,Amphibians
5,boana_pardalis,1,Assemblage,Amphibians
5,ischnocnema_hoehnei,1,Assemblage,Amphibians
5,aplastodiscus_leucopygius,1,Assemblage,Amphibians
5,dendropsophus_decipiens,1,Assemblage,Amphibians
5,brachycephalus_nodoterga,1,Assemblage,Amphibians
5,leptodactylus_paranaru,1,Assemblage,Amphibians
5,thoropa_petropolitana,1,Assemblage,Amphibians
5,phrynomedusa_dryade,1,Assemblage,Amphibians
5,trachycephalus_mesophaeus,1,Assemblage,Amphibians
5,leptodactylus_flavopictus,1,Assemblage,Amphibians
5,ololygon_flavoguttata,1,Assemblage,Amphibians
5,proceratophrys_boiei,1,Assemblage,Amphibians
5,ololygon_rizibilis,1,Assemblage,Amphibians
5,leptodactylus_jolyi,1,Assemblage,Amphibians
5,dendropsophus_giesleri,1,Assemblage,Amphibians
5,scinax_fuscovarius,1,Assemblage,Amphibians
5,bokermannohyla_luctuosa,1,Assemblage,Amphibians
5,boana_polytaenia,1,Assemblage,Amphibians
5,ceratophrys_aurita,1,Assemblage,Amphibians
5,gastrotheca_fulvorufa,1,Assemblage,Amphibians
5,ischnocnema_nigriventris,1,Assemblage,Amphibians
5,ololygon_argyreornata,1,Assemblage,Amphibians
5,phantasmarana_massarti,1,Assemblage,Amphibians
5,bokermannohyla_astartea,1,Assemblage,Amphibians
5,ololygon_humilis,1,Assemblage,Amphibians
5,trachycephalus_imitatrix,1,Assemblage,Amphibians
5,ololygon_trapicheiroi,1,Assemblage,Amphibians
5,leptodactylus_gracilis,1,Assemblage,Amphibians
5,pithecopus_rohdei,1,Assemblage,Amphibians
5,aplastodiscus_albosignatus,1,Assemblage,Amphibians
5,boana_albomarginata,1,Assemblage,Amphibians
5,bokermannohyla_circumdata,1,Assemblage,Amphibians
5,phrynomedusa_appendiculata,1,Assemblage,Amphibians
5,physalaemus_olfersii,1,Assemblage,Amphibians
5,itapotihyla_langsdorffii,1,Assemblage,Amphibians
5,dendropsophus_werneri,1,Assemblage,Amphibians
5,hylodes_phyllodes,1,Assemblage,Amphibians
5,boana_semilineata,1,Assemblage,Amphibians
5,scinax_granulatus,1,Assemblage,Amphibians
5,scinax_tymbamirim,1,Assemblage,Amphibians
5,hylodes_asper,1,Assemblage,Amphibians
5,leptodactylus_podicipinus,1,Assemblage,Amphibians
5,physalaemus_cuvieri,1,Assemblage,Amphibians
5,ischnocnema_spanios,1,Assemblage,Amphibians
5,dendropsophus_jimi,1,Assemblage,Amphibians
5,paratelmatobius_cardosoi,1,Assemblage,Amphibians
5,elachistocleis_cesarii,1,Assemblage,Amphibians
5,dendropsophus_berthalutzae,1,Assemblage,Amphibians
5,rhinella_ornata,1,Assemblage,Amphibians
5,ololygon_perpusilla,1,Assemblage,Amphibians
5,hylodes_nasus,1,Assemblage,Amphibians
5,thoropa_taophora,1,Assemblage,Amphibians
5,pseudopaludicola_saltica,1,Assemblage,Amphibians
5,eleutherodactylus_johnstonei,1,Assemblage,Amphibians
5,dendrophryniscus_leucomystax,1,Assemblage,Amphibians
5,rhinella_diptycha,1,Assemblage,Amphibians
5,scinax_squalirostris,1,Assemblage,Amphibians
5,fritziana_mitus,1,Assemblage,Amphibians
5,dendrophryniscus_berthalutzae,1,Assemblage,Amphibians
5,rhinella_hoogmoedi,1,Assemblage,Amphibians
5,leptodactylus_mystacinus,1,Assemblage,Amphibians
5,physalaemus_atlanticus,1,Assemblage,Amphibians
5,physalaemus_bokermanni,1,Assemblage,Amphibians
5,physalaemus_maculiventris,1,Assemblage,Amphibians
6,craugastor_omoaensis,0,Assemblage,Amphibians
6,craugastor_chac,1,Assemblage,Amphibians
6,incilius_valliceps,1,Assemblage,Amphibians
6,bolitoglossa_nympha,1,Assemblage,Amphibians
6,hyalinobatrachium_viridissimum,1,Assemblage,Amphibians
6,bolitoglossa_dunni,1,Assemblage,Amphibians
6,smilisca_baudinii,1,Assemblage,Amphibians
6,leptodactylus_fragilis,1,Assemblage,Amphibians
6,bolitoglossa_dofleini,1,Assemblage,Amphibians
6,bolitoglossa_mexicana,1,Assemblage,Amphibians
6,scinax_staufferi,1,Assemblage,Amphibians
6,cryptotriton_nasalis,1,Assemblage,Amphibians
6,craugastor_laticeps,1,Assemblage,Amphibians
6,lithobates_maculatus,1,Assemblage,Amphibians
6,engystomops_pustulosus,1,Assemblage,Amphibians
6,lithobates_brownorum,1,Assemblage,Amphibians
6,agalychnis_callidryas,1,Assemblage,Amphibians
6,duellmanohyla_soralia,1,Assemblage,Amphibians
6,leptodactylus_melanonotus,1,Assemblage,Amphibians
6,craugastor_laevissimus,1,Assemblage,Amphibians
6,tlalocohyla_loquax,1,Assemblage,Amphibians
6,rhinella_horribilis,1,Assemblage,Amphibians
6,rhinophrynus_dorsalis,1,Assemblage,Amphibians
6,dermophis_mexicanus,1,Assemblage,Amphibians
6,bolitoglossa_conanti,1,Assemblage,Amphibians
6,ptychohyla_hypomykter,1,Assemblage,Amphibians
6,craugastor_charadra,1,Assemblage,Amphibians
6,trachycephalus_vermiculatus,1,Assemblage,Amphibians
6,bromeliohyla_bromeliacia,1,Assemblage,Amphibians
6,craugastor_rostralis,1,Assemblage,Amphibians
6,dendropsophus_microcephalus,1,Assemblage,Amphibians
