"","case_study","extinct_species_group","extant","species_name","species","extant.1","class","genus","IUCN","IUCN_year","AB_Leaves","AB_Flowers","AB_Seeds","AB_Fruits","AB_Arthro","AB_Vert","amphi_diet_breadth","amphi_diet_comments","AB_Body_mass_g","mammalBodyMass.Value","reptt_Diet","reptt_DietComments","reptile_diet_breadth","reptt_MaximumBodyMass_g","mammal_diet_breadth","X","X.1","global_range_size_km2","global_range_size_log","range_centroid_lon","range_centroid_lat","human.footprint.1993.Venter_30arcseconds","WDPA_30arcseconds","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"28","CS_006","Craugastor_omoaensis",FALSE,"Ptychohyla hypomykter","Ptychohyla hypomykter",1,"Amphibians","Ptychohyla","VU",2020,NA,NA,NA,NA,NA,NA,"?","",NA,NA,NA,NA,NA,NA,NA,NA,"",2829.80109356596,3.45175591008167,-87.168177328678,14.5638085670338,6.6042857170105,0,32.2793152435807,100,1.14069201955478
"29","CS_006","Craugastor_omoaensis",FALSE,"Cryptotriton nasalis","Cryptotriton nasalis",1,"Amphibians","Cryptotriton","EN",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",177.770018708781,2.24985851812317,-88.2107652900706,15.5085525945749,11.1000000953674,0,32.2793152435807,100,18.1579073220778
"30","CS_006","Craugastor_omoaensis",FALSE,"Lithobates maculatus","Lithobates maculatus",1,"Amphibians","Lithobates","LC",2020,NA,NA,NA,NA,NA,NA,"","",113,NA,NA,NA,NA,NA,NA,NA,"",184811.312681956,5.26672855175951,-88.4632491004615,14.5916955243024,9.27642350275321,0.532665325755925,32.2793152435807,100,0.0174660927273054
"31","CS_006","Craugastor_omoaensis",FALSE,"Lithobates maculatus","Lithobates maculatus",1,"Amphibians","Lithobates","LC",2020,NA,NA,NA,NA,NA,NA,"","",113,NA,NA,NA,NA,NA,NA,NA,"",184811.312681956,5.26672855175951,-88.4632491004615,14.5916955243024,9.27642350275321,0.532665325755925,32.2793152435807,100,0.0174660927273054
"32","CS_006","Craugastor_omoaensis",FALSE,"Lithobates maculatus","Lithobates maculatus",1,"Amphibians","Lithobates","LC",2020,NA,NA,NA,NA,NA,NA,"","",113,NA,NA,NA,NA,NA,NA,NA,"",184811.312681956,5.26672855175951,-88.4632491004615,14.5916955243024,9.27642350275321,0.532665325755925,32.2793152435807,100,0.0174660927273054
"33","CS_006","Craugastor_omoaensis",FALSE,"Dendropsophus microcephalus","Dendropsophus microcephalus",1,"Amphibians","Dendropsophus","LC",2023,NA,NA,NA,NA,NA,NA,"","",28,NA,NA,NA,NA,NA,NA,NA,"",4737574.54112976,6.67555605623136,-64.2407925083701,0.791763637530908,2.92162908173767,8.23546958992596,32.2793152435807,100,0.000681346857201811
"34","CS_006","Craugastor_omoaensis",FALSE,"Dendropsophus microcephalus","Dendropsophus microcephalus",1,"Amphibians","Dendropsophus","LC",2023,NA,NA,NA,NA,NA,NA,"Duplicated","",28,NA,NA,NA,NA,NA,NA,NA,"",4737574.54112976,6.67555605623136,-64.2407925083701,0.791763637530908,2.92162908173767,8.23546958992596,32.2793152435807,100,0.000681346857201811
"35","CS_006","Craugastor_omoaensis",FALSE,"Craugastor rostralis","Craugastor rostralis",1,"Amphibians","Craugastor","VU",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",1639.55572432479,3.21472618181996,-88.8417730722736,15.2184026589272,9.36687505245209,0,32.2793152435807,100,1.96878427275621
"36","CS_006","Craugastor_omoaensis",FALSE,"Trachycephalus vermiculatus","Trachycephalus vermiculatus",1,"Amphibians","Trachycephalus","LC",2023,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",931017.947032345,5.96895805286318,-85.8224453655602,13.3300116950037,8.21149517304093,6.78941961225813,32.2793152435807,100,0.00346709914094269
"37","CS_006","Craugastor_omoaensis",FALSE,"Bromeliohyla bromeliacia","Bromeliohyla bromeliacia",1,"Amphibians","Bromeliohyla","LC",2020,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,"",553.086831264063,2.742793318246,-88.3534494457109,15.5718214903725,7.32000017166138,0,32.2793152435807,100,5.83621113701213
