"","extinct","species_name","id","order","family","genus","species","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct.1","global_range_size_km2.1","global_range_size_log","range_centroid_lon","range_centroid_lat","cropland_2arcmin","human.footprint.1993.30s.Venter","maximumTemperature","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"16",0,"Smilisca_baudinii","Anf2709","Anura","Hylidae","Smilisca","Smilisca_baudinii","generalist","",NA,90,"",NA,0,961946.612836971,5.98315096975747,-94.643651602,18.8290293731421,0.0608141490357674,7.70071752503859,25.2577368146345,961946.612836971,2980071.31061783,100
"17",0,"Rhinophrynus_dorsalis","Anf5383","Anura","Rhinophrynidae","Rhinophrynus","Rhinophrynus_dorsalis","specialist","specialist",90,89,"carnivore",NA,0,342090.365539982,5.53414084310718,-91.1582344118521,17.8289856782234,0.0475198821792881,7.80956354895541,19.2862120625584,342090.365539982,1059781.97789781,100
"18",0,"Bolitoglossa_dunni","Anf6116","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_dunni","specialist","",NA,138,"",NA,0,277.022074993013,2.44251437796576,-88.3411288646124,15.427152175879,0,7.50297619047619,28.2471205393473,277.022074993013,858.203071852193,100
"19",0,"Scinax_staufferi","Anf2697","Anura","Hylidae","Scinax","Scinax_staufferi","generalist","",29,32,"",NA,0,569553.527824557,5.75553454623146,-90.5875003874825,16.062228252,0.0351978844508878,8.20412862235469,23.6243080487877,569553.527824557,1764453.5626831,100
"20",0,"Craugastor_charadra","Anf1249","Anura","Craugastoridae","Craugastor","Craugastor_charadra","specialist","",NA,67,"",NA,0,3108.62949133093,3.49256896280894,-88.7017510588099,15.2901031893996,0.00960630248380216,8.36868686868687,29.5795438596518,3108.62949133093,9630.40717523253,100
"21",0,"Agalychnis_callidryas","Anf2957","Anura","Hylidae","Agalychnis","Agalychnis_callidryas","generalist","",12,77.2,"",NA,0,501190.034297922,5.70000242686232,-87.4341939997004,15.1546766697585,0.0151676494622174,6.91022243279391,16.6732006464764,501190.034297922,1552666.252417,100
"22",0,"Incilius_valliceps","Anf0641","Anura","Bufonidae","Incilius","Incilius_valliceps","specialist","",60,125,"",NA,0,564416.817522547,5.75159994563587,-89.2599272595688,16.6599177640004,0.0243718829121143,6.79718961466404,17.8421261481241,564416.817522547,1748540.2440044,100
"23",0,"Ptychohyla_hypomykter","Anf2596","Anura","Hylidae","Ptychohyla","Ptychohyla_hypomykter","generalist","",NA,44,"",NA,0,2829.80109356598,3.45175591008168,-87.1681773286781,14.5638085670338,0.00669436612737063,7.35099531615925,27.8732885183747,2829.80109356598,8766.608189222,100
"24",0,"Cryptotriton_nasalis","Anf6222","Caudata","Plethodontidae","Cryptotriton","Cryptotriton_nasalis","specialist","",NA,80,"",NA,0,177.770018709003,2.24985851812371,-88.2107652900706,15.5085525945749,0,6.32863849765258,28.4258213043213,177.770018709003,550.724255975398,100
"25",0,"Lithobates_maculatus","Anf4878","Anura","","Lithobates","Lithobates_maculatus","specialist","",113,113,"",NA,0,184811.312681956,5.26672855175951,-88.4632491004615,14.5916955243024,0.0249082636365535,9.3033860348457,29.5427627062836,184811.312681956,572537.897063587,100
"26",0,"Dendropsophus_microcephalus","Anf2226","Anura","Hylidae","Dendropsophus","Dendropsophus_microcephalus","generalist","",28,32,"",NA,0,4737574.54112976,6.67555605623136,-64.2407925083701,0.791763637530908,0.00593874349753086,2.96692240507361,30.2185097116566,4737574.54112976,14676812.3963725,100
"27",0,"Craugastor_rostralis","Anf1319","Anura","Craugastoridae","Craugastor","Craugastor_rostralis","specialist","",NA,59,"",NA,0,1639.55572432476,3.21472618181995,-88.8417730722736,15.2184026589272,0.00138527133399187,8.55297679112008,29.2106060098719,1639.55572432476,5079.27665737051,100
"28",0,"Trachycephalus_vermiculatus","","","","","Trachycephalus_vermiculatus","","",NA,NA,"",NA,0,931017.947032345,5.96895805286318,-85.8224453655602,13.3300116950037,0.0308402360481507,8.40462341376992,25.1909217090692,931017.947032345,2884255.56740499,100
"29",0,"Bromeliohyla_bromeliacia","Anf2169","Anura","Hylidae","Bromeliohyla","Bromeliohyla_bromeliacia","generalist","",NA,35.7,"",NA,0,553.086831264035,2.74279331824597,-88.3534494457109,15.5718214903725,3.72093013855954e-05,9.65126676602086,29.3836750703699,553.086831264035,1713.44040941056,100
"30",0,"Hypopachus_variolosus","Anf4231","Anura","Microhylidae","Hypopachus","Hypopachus_variolosus","generalist","specialist",NA,53,"carnivore",NA,0,759251.162329577,5.88038546544764,-94.7061829196124,18.9075299424003,0.0632926261377175,7.7857212039419,24.3116049586471,759251.162329577,2352129.0851461,100
"31",0,"Rhinella_horribilis","","","","","Rhinella_horribilis","","",NA,NA,"",NA,0,1893889.48723993,6.2773546333356,-89.3244959341645,14.6783018899554,0.042557346125681,7.81482380446094,23.6446000388002,1893889.48723993,5867192.26523328,100
"32",0,"Incilius_campbelli","Anf0611","Anura","Bufonidae","Incilius","Incilius_campbelli","specialist","",NA,90,"",NA,0,590.26563451443,2.77104749917037,-88.3313767377567,15.4513602728529,3.4090909387239e-05,8.03216783216783,28.8023341178894,590.26563451443,1828.61882310947,100
"33",0,"Leptodactylus_fragilis","Anf3379","Anura","Brachycephalidae","Leptodactylus","Leptodactylus_fragilis","generalist","",NA,43,"",NA,0,1556429.57475073,6.19212947452763,-82.3492802792182,13.3294834892183,0.0321413129717674,7.66059437834855,25.5550599854117,1556429.57475073,4821755.2417307,100
"34",0,"Craugastor_chac","Anf1248","Anura","Craugastoridae","Craugastor","Craugastor_chac","specialist","",NA,39,"",NA,0,1956.05503017383,3.29138106873617,-87.7117216358876,15.576488212585,0.00960992909150515,5.70375052675938,30.1169727825728,1956.05503017383,6059.77857775217,100
"35",0,"Lithobates_vaillanti","Anf4902","Anura","","Lithobates","Lithobates_vaillanti","specialist","specialist",125,125,"carnivore",NA,0,507090.898464289,5.70508581567071,-84.7208364115914,12.1960248547772,0.00963745803602738,6.80656664542283,18.492972648117,507090.898464289,1570946.88855145,100
"36",0,"Bolitoglossa_mexicana","Anf6148","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_mexicana","specialist","specialist",NA,190,"carnivore",NA,0,204003.439394547,5.30963748947238,-88.8614779322943,15.8234359262526,0.0119622060386227,6.83525306114215,29.9061538269114,204003.439394547,631994.3216122,100
"37",0,"Dermophis_mexicanus","Anf6637","Gymnophiona","Dermophiidae","Dermophis","Dermophis_mexicanus","generalist","",NA,600,"",NA,0,17060.4266009584,4.23198988662786,-87.8830315473887,15.4489525361434,0.0269567463129451,9.42013637023067,31.1066420802121,17060.4266009584,52852.5046836815,100
"38",1,"Craugastor_omoaensis","Anf1299","Anura","Craugastoridae","Craugastor","Craugastor_omoaensis","specialist","",NA,30,"",NA,1,32.2793152435516,1.5089243132526,-88.1340404900724,15.484680613919,0,9.925,29.8337841033936,32.2793152435516,100,100
