"","Longitude(x)","Latitude(y)","cropland_2arcmin_mean","built_mean","wc2.1_2.5m_elev_mean","Tree_loss_mean","trees_mean","wildareas-v3-2009-human-footprint_mean","maximum_temperature_mean_mean","Built_mean","Cropland_mean","Forestlandcover_mean","layer_mean","extinct_species_group","binomial_name","Presence","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct"
"27",-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00583011424168944,0.172993779182434,4.23725700378418,-25.9036426544189,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
"28",-98.0595638729999,26.9786470350001,0.0805459842085838,0.00435301661491394,44.2501831054688,0.00583011424168944,0.172993779182434,4.23725700378418,-25.9036426544189,4.41824568042648e-06,0.0635125562548637,0,NA,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"29",-97.0595638729999,26.9786470350001,0.00486337067559361,0.000882812542840838,5.08902215957642,0.00128533458337188,0.0235094390809536,0.405660092830658,-7936.24951171875,0.000519534980412573,0.00285344989970326,0,1,"Craugastor omoaensis","Hypopachus_variolosus",1,"generalist","specialist",NA,53,"carnivore",NA,0
"30",-97.0595638729999,26.9786470350001,0.00486337067559361,0.000882812542840838,5.08902215957642,0.00128533458337188,0.0235094390809536,0.405660092830658,-7936.24951171875,0.000519534980412573,0.00285344989970326,0,1,"Craugastor omoaensis","Rhinophrynus_dorsalis",1,"specialist","specialist",90,89,"carnivore",NA,0
"31",-109.059563873,25.9786470350001,0.291743367910385,0.0123026296496391,51.0066337585449,0.00774433743208647,0.0659636929631233,9.06766319274902,-2131.3623046875,0.00838665477931499,0.360552728176117,0,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"32",-109.059563873,25.9786470350001,0.291743367910385,0.0123026296496391,51.0066337585449,0.00774433743208647,0.0659636929631233,9.06766319274902,-2131.3623046875,0.00838665477931499,0.360552728176117,0,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"33",-109.059563873,25.9786470350001,0.291743367910385,0.0123026296496391,51.0066337585449,0.00774433743208647,0.0659636929631233,9.06766319274902,-2131.3623046875,0.00838665477931499,0.360552728176117,0,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
"34",-108.059563873,25.9786470350001,0.190556198358536,0.00681576924398541,514.765380859375,0.00969005096703768,0.594483733177185,7.237389087677,-3.35814261436462,0.00516404490917921,0.26098957657814,0.122285842895508,1,"Craugastor omoaensis","Leptodactylus_melanonotus",1,"generalist","",NA,58,"",NA,0
"35",-108.059563873,25.9786470350001,0.190556198358536,0.00681576924398541,514.765380859375,0.00969005096703768,0.594483733177185,7.237389087677,-3.35814261436462,0.00516404490917921,0.26098957657814,0.122285842895508,1,"Craugastor omoaensis","Rhinella_horribilis",1,"generalist","specialist",106.25,241,"",NA,0
"36",-108.059563873,25.9786470350001,0.190556198358536,0.00681576924398541,514.765380859375,0.00969005096703768,0.594483733177185,7.237389087677,-3.35814261436462,0.00516404490917921,0.26098957657814,0.122285842895508,1,"Craugastor omoaensis","Smilisca_baudinii",1,"generalist","",NA,90,"",NA,0
