"","case_study","extinct_species_group","extinct","species_name","id","order","family","genus","species","habitat_breadth","diet_breadth","body_mass_g","body_size_mm","trophic_level","global_range_size_km2","extinct.1","global_range_size_km2.1","global_range_size_log","range_centroid_lon","range_centroid_lat","cropland_2arcmin","global_built_3arcmin","global_elevation_worldclim_2.5arcmin","global_treecover_3arcmin","human.footprint.1993.30s.Venter","maximumTemperature","wdpa","overlap_area_km2","overlap_pct_extinct_range","overlap_pct_extant_range"
"14",0,"Craugastor_omoaensis",0,"Duellmanohyla_soralia","Anf2277","Anura","Hylidae","Duellmanohyla","Duellmanohyla_soralia","generalist","",NA,37.7,"",NA,0,1194.23338243238,3.07708920685878,-88.4020819746563,15.4630034725829,0.00150106380572245,0.00106875002029483,771.879310344828,0.830366459488869,6.85743801652893,29.3764435768127,49.7200158522028,32.2793152435516,100,2.70293191585435
"15",0,"Craugastor_omoaensis",0,"Leptodactylus_melanonotus","Anf3405","Anura","Brachycephalidae","Leptodactylus","Leptodactylus_melanonotus","generalist","",NA,58,"",NA,0,833155.684204854,5.9207261616392,-90.4131591342313,15.9304332608067,0.0479139941339042,0.00712543089637278,276.33306287035,0.596289151775846,7.7474818488598,22.550010058959,14.1128060664446,32.2793152435516,100,0.0038743437577766
"16",0,"Craugastor_omoaensis",0,"Smilisca_baudinii","Anf2709","Anura","Hylidae","Smilisca","Smilisca_baudinii","generalist","",NA,90,"",NA,0,961946.612836971,5.98315096975747,-94.643651602,18.8290293731421,0.0608141490357674,0.00886124502693368,477.648136077879,0.528966714594437,7.70071752503859,25.2577368146345,11.949709580857,32.2793152435516,100,0.00335562439877547
"17",0,"Craugastor_omoaensis",0,"Rhinophrynus_dorsalis","Anf5383","Anura","Rhinophrynidae","Rhinophrynus","Rhinophrynus_dorsalis","specialist","specialist",90,89,"carnivore",NA,0,342090.365539982,5.53414084310718,-91.1582344118521,17.8289856782234,0.0475198821792881,0.00878409304972754,155.191746561067,0.541692998151195,7.80956354895541,19.2862120625584,18.5182133923025,32.2793152435516,100,0.00943590305228255
"18",0,"Craugastor_omoaensis",0,"Bolitoglossa_dunni","Anf6116","Caudata","Plethodontidae","Bolitoglossa","Bolitoglossa_dunni","specialist","",NA,138,"",NA,0,277.022074993013,2.44251437796576,-88.3411288646124,15.427152175879,0,0.00162438275896824,1290.14285714286,0.922899385293325,7.50297619047619,28.2471205393473,85.7325140138623,32.2793152435516,100,11.6522537939858
"19",0,"Craugastor_omoaensis",0,"Scinax_staufferi","Anf2697","Anura","Hylidae","Scinax","Scinax_staufferi","generalist","",29,32,"",NA,0,569553.527824557,5.75553454623146,-90.5875003874825,16.062228252,0.0351978844508878,0.00869798990648649,535.564208931534,0.576780445542565,8.20412862235469,23.6243080487877,12.934319717704,32.2793152435516,100,0.00566747700902571
"20",0,"Craugastor_omoaensis",0,"Craugastor_charadra","Anf1249","Anura","Craugastoridae","Craugastor","Craugastor_charadra","specialist","",NA,67,"",NA,0,3108.62949133093,3.49256896280894,-88.7017510588099,15.2901031893996,0.00960630248380216,0.00228333337009626,671.322147651007,0.744461520045411,8.36868686868687,29.5795438596518,26.7353181036061,32.2793152435516,100,1.03837769452968
"21",0,"Craugastor_omoaensis",0,"Agalychnis_callidryas","Anf2957","Anura","Hylidae","Agalychnis","Agalychnis_callidryas","generalist","",12,77.2,"",NA,0,501190.034297922,5.70000242686232,-87.4341939997004,15.1546766697585,0.0151676494622174,0.0044295109410855,249.955225110187,0.60474254718284,6.91022243279391,16.6732006464764,16.5368011636929,32.2793152435516,100,0.00644053413567355
"22",0,"Craugastor_omoaensis",0,"Incilius_valliceps","Anf0641","Anura","Bufonidae","Incilius","Incilius_valliceps","specialist","",60,125,"",NA,0,564416.817522547,5.75159994563587,-89.2599272595688,16.6599177640004,0.0243718829121143,0.0056021692061911,286.387338004138,0.601385937845921,6.79718961466404,17.8421261481241,16.9145665171063,32.2793152435516,100,0.00571905624379489
"23",0,"Craugastor_omoaensis",0,"Ptychohyla_hypomykter","Anf2596","Anura","Hylidae","Ptychohyla","Ptychohyla_hypomykter","generalist","",NA,44,"",NA,0,2829.80109356598,3.45175591008168,-87.1681773286781,14.5638085670338,0.00669436612737063,0.0127083334909725,1423.83458646617,0.85947468415978,7.35099531615925,27.8732885183747,25.2312891112487,32.2793152435516,100,1.14069201955374
